,count,mean,std,min,25%,50%,75%,max,median,variance
Distance,200.0,11.498050000000001,6.84175538742851,0.52,6.09,10.265,16.4975,24.9,10.265,46.80961678140704
Delivery_Person_Experience,200.0,5.25,2.745027482448397,1.0,3.0,5.0,8.0,10.0,5.0,7.535175879396985
Restaurant_Rating,200.0,3.7384999999999997,0.7030212974893564,2.5,3.2,3.8,4.3,5.0,3.8,0.4942389447236182
Customer_Rating,200.0,3.6864999999999997,0.697063294243001,2.6,3.1,3.7,4.3,5.0,3.7,0.48589723618090447
Delivery_Time,200.0,70.49494999999999,29.830694303193024,15.23,46.9975,72.775,96.65,119.67,72.775,889.8703226105528
Order_Cost,200.0,1046.4887,548.568921934035,122.3,553.27,1035.9499999999998,1543.125,1997.42,1035.9499999999998,300927.8621118693
Tip_Amount,200.0,46.61665,29.361706495350294,1.24,21.6025,47.53,70.245,99.74,47.53,862.1098083190956
Customer_Latitude,200.0,16.99776226,3.0970386766470743,12.021992,14.368617500000001,17.081582,20.0919195,21.941596,17.081582,9.591648564647862
Customer_Longitude,200.0,82.47846622499999,3.1516688714897287,77.018445,79.7009125,82.2718945,85.4002115,87.968582,82.2718945,9.93301667551734
Restaurant_Latitude,200.0,16.67514972,2.837942079392921,12.019922,14.1711545,16.5163765,18.829645999999997,21.990214,16.5163765,8.053915245989016
Restaurant_Longitude,200.0,82.57990245,3.286385477333956,77.01058,79.617649,82.482346,85.628492,87.896124,82.482346,10.800329505631534
Calculated_Distance,200.0,603.0379154399649,269.7967965267176,29.871927002732637,389.19729279111283,558.7889214212962,807.6024419047011,1299.2442673028968,558.7889214212962,72790.31141607909
Order_Hour,200.0,16.25,4.6308448060899705,9.0,14.0,19.0,19.0,22.0,19.0,21.444723618090453
Rush_Hour,200.0,0.805,0.39719493840616527,0.0,1.0,1.0,1.0,1.0,1.0,0.1577638190954774
Delivery_Status_Binary,200.0,0.5,0.5012547071170855,0.0,0.0,0.5,1.0,1.0,0.5,0.25125628140703515
