Distance,Delivery_Person_Experience,Restaurant_Rating,Customer_Rating,Delivery_Time,Order_Cost,Tip_Amount,Customer_Latitude,Customer_Longitude,Restaurant_Latitude,Restaurant_Longitude,Calculated_Distance,Order_Hour,Order_Day,Order_Month,Rush_Hour,Delivery_Status_Binary,Weather_Conditions_Rainy,Weather_Conditions_Snowy,Weather_Conditions_Sunny,Traffic_Conditions_Low,Traffic_Conditions_Medium,Order_Priority_Low,Order_Priority_Medium,Vehicle_Type_Bike,Vehicle_Type_Car
1.57,4.0,4.1,3.0,26.22,1321.1,81.54,17.030479,79.743077,12.358515,85.100083,775.651198066382,,,,0.0,0,True,False,False,False,True,False,True,False,True
21.32,8.0,4.5,4.2,62.61,152.21,29.02,15.398319,86.639122,14.174874,77.025606,1042.385596787569,,,,0.0,0,False,False,False,False,True,True,False,False,True
6.95,9.0,3.3,3.4,48.43,1644.38,64.17,15.687342,83.888808,19.594748,82.048482,476.2207058276903,,,,0.0,0,False,True,False,False,True,False,False,True,False
13.79,2.0,3.2,3.7,111.63,541.25,79.23,20.415599,78.046984,16.915906,78.278698,389.9126287306543,,,,0.0,1,False,False,False,True,False,False,True,True,False
6.72,6.0,3.5,2.8,32.38,619.81,2.34,14.786904,78.706532,15.206038,86.203182,806.5058863967466,,,,0.0,0,True,False,False,False,False,True,False,True,False
10.0,10.0,2.8,3.3,60.72,860.35,57.9,15.560205,80.59125,12.478068,78.823965,392.1686750385954,,,,0.0,0,True,False,False,False,False,False,True,False,False
5.15,6.0,4.4,4.5,28.76,649.45,68.66,21.397639,84.89693,15.934011,86.767357,638.6515322722066,,,,0.0,0,False,False,True,False,True,False,False,False,True
22.57,7.0,3.2,4.3,57.28,314.27,1.24,12.512731,86.268971,12.019922,78.4686,849.2974198069167,,,,0.0,0,False,True,False,False,True,True,False,False,False
13.19,8.0,3.2,3.0,47.22,1223.05,39.0,18.814724,86.95472,15.30437,84.059261,497.04910913585564,,,,0.0,0,False,True,False,False,True,True,False,False,False
19.56,8.0,3.7,4.1,81.55,419.26,24.52,14.364647,87.968582,13.508338,84.206901,416.9754176494652,,,,0.0,1,False,True,False,False,True,False,False,False,False
18.34,7.0,3.5,3.6,34.68,233.22,31.02,13.516083,77.368398,21.043034,80.024796,883.1202148321858,,,,0.0,0,True,False,False,False,False,True,False,False,True
3.04,7.0,3.5,3.4,106.88,908.48,59.47,21.81819,81.305941,19.321344,80.471393,290.91014732847657,,,,0.0,1,False,False,True,True,False,False,False,True,False
1.34,7.0,4.0,4.7,23.12,1846.92,11.85,15.800841,79.0468,19.299898,77.014496,444.73170326838886,,,,0.0,0,False,True,False,True,False,False,False,False,False
0.87,1.0,2.5,4.3,55.43,822.34,52.21,17.328378,81.85932,21.881675,82.349324,508.896684621098,,,,0.0,0,False,False,False,False,False,False,True,True,False
10.07,6.0,4.9,3.3,29.29,393.48,54.76,12.865312,81.430712,16.452125,83.164956,440.2968285057564,,,,0.0,0,False,False,False,True,False,False,True,False,True
20.73,7.0,3.7,3.4,50.11,972.65,46.41,14.62525,78.17385,12.069338,80.962928,414.49872125881797,,,,0.0,0,False,True,False,False,True,False,False,False,True
14.02,1.0,4.4,4.2,17.53,494.63,23.5,21.621044,83.330567,12.736908,77.460086,1167.8139128743655,,,,0.0,0,True,False,False,False,False,False,True,True,False
4.74,2.0,2.5,4.6,79.64,180.42,93.69,13.110016,81.85359,16.175275,81.118374,349.8961304264629,,,,0.0,1,False,False,True,False,False,True,False,True,False
8.61,5.0,2.9,4.6,41.29,1151.97,51.88,20.445084,79.190647,12.511262,82.796889,962.2037507413588,,,,0.0,0,False,False,True,False,True,True,False,True,False
