Feature,Coefficient
Weather_Conditions_Rainy,3.329772203226206
Traffic_Conditions_Medium,2.2976993323870842
Traffic_Conditions_Low,2.2222842866028114
Order_Time_Morning,1.8357013958964508
Restaurant_Longitude,1.014795967959776
Order_Time_Evening,0.8640755167452618
Weather_Conditions_Sunny,0.7296929038923051
Order_Priority_Low,0.709615469019826
Weather_Conditions_Snowy,0.6541536219020081
Order_Time_Night,0.30836676431670706
Customer_Longitude,0.15278650777342292
Rush_Hour,-6.661338147750939e-16
Order_Hour,-0.11572196414582414
Tip_Amount,-0.38084363467462173
Order_Priority_Medium,-0.637171951423245
Customer_Rating,-0.6654128975426167
Order_Cost,-1.0251961317081515
Customer_Latitude,-1.1745883986704666
Restaurant_Latitude,-1.3334787231464187
Distance,-1.597312419808867
Restaurant_Rating,-1.7794474977288506
Vehicle_Type_Car,-2.178930744801854
Delivery_Person_Experience,-3.0886604975108503
Calculated_Distance,-3.2303258291924015
Vehicle_Type_Bike,-4.063235888215277
