Feature,Coefficient
Order_Priority_Low,0.115455818827411
Traffic_Conditions_Low,0.10121229313940555
Restaurant_Latitude,0.07425020870440377
Restaurant_Rating,0.06240127321302307
Restaurant_Longitude,0.0008203935074781988
Rush_Hour,0.0
Delivery_Person_Experience,-0.0035466867432145405
Order_Priority_Medium,-0.006897851136259152
Weather_Conditions_Rainy,-0.03043664521242708
Traffic_Conditions_Medium,-0.046681357532252894
Customer_Rating,-0.06486339536350201
Weather_Conditions_Sunny,-0.07043404364926875
Customer_Latitude,-0.1073616807446078
Tip_Amount,-0.10914595082923517
Customer_Longitude,-0.1188798264441784
Order_Cost,-0.12080278492944775
Order_Hour,-0.15065699811485286
Order_Time_Night,-0.15364287213450503
Vehicle_Type_Car,-0.16951702486964948
Order_Time_Morning,-0.18610164674739177
Vehicle_Type_Bike,-0.21424546522387974
Weather_Conditions_Snowy,-0.22856502652289243
Order_Time_Evening,-0.2523167949628226
Calculated_Distance,-0.26439891351518297
Distance,-0.4123595511180408
