False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.05,0.0,0.8379015761964356
0.1,0.0,0.8184390268098554
0.1,0.05,0.7847505539571653
0.2,0.05,0.7471714620653258
0.2,0.1,0.733723705189777
0.3,0.1,0.6132224817267643
0.3,0.35,0.5662111929876424
0.4,0.35,0.5444788039682801
0.4,0.45,0.522152699354036
0.45,0.45,0.5066989401403272
0.45,0.5,0.49108242643777233
0.5,0.5,0.47770577524808305
0.5,0.65,0.4528433196274821
0.6,0.65,0.4445708045976043
0.6,0.7,0.43570222390304003
0.75,0.7,0.4093915047394402
0.75,0.75,0.3995266293404849
0.8,0.75,0.3781962970638969
0.8,0.85,0.368650880883126
0.95,0.85,0.2699845344222376
0.95,0.9,0.2664389851277364
1.0,0.9,0.25219147330958647
1.0,1.0,0.14215222721957455
